Sample.Name,Site Name / Description,Depth Top,Depth Bottom,Horizon,Dominant Mineralogy,E_max,uE,sdE,Bulk 14C,Sample 14C,Sample Fm,Sample 13C,Bulk Density,Organic C (%),TN,pH,CEC,Fe dith,Fe ox,Fe py,Al dith,Al ox,Al py,Sand,Clay,SRO,Hematite,Gibbsite,Kaolin,Feldspar,Quartz,Oxides,Smectite,Chlorite,RE_S1,RE_S2,RE_S3,RE_HI,RE_OI,RE_Tmax,RE_S1TOC,GPP
Laupahoehoe,LSAG 69,38,54,2Bw3,Amorphous / SRO,123.6842105,135.8000967,14.45705637,-331.3,-331.3,0.6725,-26.69,0.34,5.9,0.607,4.8,48.8,242,88.2,,,29.4,,55,3.9,34.5,13.3,5.8,0.5,1.9,5.9,19.1,0,0,0.35,9.45,47.94,160.1694915,812.5423729,430,0.059322034,2315.35059
Kokee,LSAG 113,20,33,2Bo2,Crystalline ,135.9649123,135.7623123,13.36248387,-863.3,-863.3,0.1375,-24.62,0.91,2.2,0.0185,4.3,10,106,20.7,,,4.8,,4,38,4.4,42.9,24.3,9.4,0,22.1,67.2,0,0,0.04,0.48,5.17,21.81818182,235,499,0.018181818,1944.45117
SA Gr Crest,SA 776,41,62,Bw2,1:1 Clay,131.5789474,143.4207781,17.7706112,-85.6,-85.6,0.9206,-14.9,1.8,0.16,0.017,5.6,4.7,3.6,0.3,,,0,,75,17,,,,79,0,75,0,1,21,0.01,0.09,0.29,56.25,181.25,351,0.0625,1528.35828
SA Gr Toeslope,SA 742,15,29,2Btn2,1:1 + 2:1 Clay,134.2105263,143.2991185,16.78121876,2.6,2.6,1.009,-13.8,1.9,0.48,0.043,6.8,34.8,1.6,0.7,,,0,,44,47,,,,53,0,44,0,24,15,0.02,0.25,0.56,52.08333333,116.6666667,346,0.041666667,1528.35828
MiB1 Spodosol,MiB1 Bhs 76 Heavy,56,76,Bhs,Pedogenic Oxides,128.9473684,136.3265563,12.74872104,-87,-100.9,0.9065,-25.32,,1.5,0.034,4,,1.5,0.6,1.9,0.5,0.7,2.3,95,0,,,,0,4.7,82.3,,0,0,0.03,0.42,1.98,66.66666667,314.2857143,420,0.047619048,1589.3949
MiB1 Spodosol - Bulk,MiB1 Bhs 8 Bulk,56,76,Bhs,Pedogenic Oxides,125.4385965,135.916982,13.41729625,-87,-87,0.9205,-25.23,,1.05,,4,,1.5,0.6,,0.5,0.7,0.14,,0,,,,0,4.7,82.3,,0,0,0.04,0.41,2.06,39.04761905,196.1904762,412,0.038095238,1589.3949
SA Black Basalt,Le4-1 1508,11,31,Bw2,2:1 Clay + Pedogenic oxides,135.9649123,146.7208176,18.05424162,-133.2,-133.2,0.873,-12.3,1.5,1.25,0.102,7.7,44.3,17,2,,,2,,28,43,,,,5,0,2,,93,0,0.04,0.65,2.73,41.66666667,175,365,0.025641026,1087.93005
AN Sierra,AN Sierra,20,30,Bw1,2:1 + amorphous,133.3333333,147.972235,18.35579336,-81.1,-115.6,0.8918,-23.21,0.58,1.1,0.153,6,,16.03,6.92,,,38.58,5.9,65,6.24,,,0,6.407,31.367,1.664,0,35.671,2.135,0.11,2.31,3.34,210,303.6363636,432,0.1,1507.61694
BS Sierra,BS Sierra,20,30,Bw1,2:1 + amorphous,129.8245614,141.7831626,19.25432959,-97.5,-70.2,0.9376,-22.01,0.89,0.8,0.075,6.04,,9.57,3.47,,,14.75,2.8,83,10.9,,,0,12.2271,41.1039,0,0,0,0,0.03,0.71,1.94,88.75,242.5,424,0.0375,1431.35645
GR Sierra,GR Sierra,20,30,A2/Bw1,Crystalline w/ some 2:1 and 1:1 clays,130.7017544,145.7194806,17.83680742,-28.4,-21.2,0.987,-23.75,1.7,0.4,0.044,6.1,,4.3,2.6,,,4.4,1.9,80,6,,,1.498,3.235,39.87,23.364,0,0,4.759,0.02,0.37,1.11,92.5,277.5,430,0.05,1278.96326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,,1.105,0.355,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,
