Sample Name,Sample Name Old,LowT,HighT,Frac_No,PK,RT,Pksize,Area Pct,Compound,PM,C,H,O,N-Bearing,m/z,Origin,E_mean,E_std,E_lower,E_upper
Laupahoehoe,LSAG 69,140,245,1,1,3.92,37.46,47.98,"2,4-Dimethylfuran",96,6,8,1,,"53, 67,96",Polysaccharide,122.5507589,8.112888288,114.4378706,126.4437215
Laupahoehoe,LSAG 69,140,245,1,2,5.13,1.39,1.77,"3-Heptene, 2-methyl",112,8,16,,,"55, 69, 112",Alkane,122.5507589,8.112888288,114.4378706,126.4437215
Laupahoehoe,LSAG 69,140,245,1,3,5.85,3.42,4.38,Siloxane,,,,,,,CONT,122.5507589,8.112888288,114.4378706,126.4437215
Laupahoehoe,LSAG 69,140,245,1,4,6.92,1.68,2.16,"Heptane, x,x- dimethyl",128,9,20,,,"57, 71, 128",Alkane,122.5507589,8.112888288,114.4378706,126.4437215
Laupahoehoe,LSAG 69,140,245,1,5,7.03,2.95,3.78,"Heptane, x,x- dimethyl",128,9,20,,,"57, 71, 128",Alkane,122.5507589,8.112888288,114.4378706,126.4437215
Laupahoehoe,LSAG 69,140,245,1,6,7.12,1.82,2.34,"Heptane, x,x- dimethyl",128,9,20,,,"57, 71, 128",Alkane,122.5507589,8.112888288,114.4378706,126.4437215
Laupahoehoe,LSAG 69,140,245,1,7,7.22,16.5,21.14,"Benzene, 1,3-bis(1,1-dimethylethyl)-",190,14,22,,,"57, 175, 190",Aromatic,122.5507589,8.112888288,114.4378706,126.4437215
Laupahoehoe,LSAG 69,140,245,1,8,7.8,2.46,3.16,"Cyclopentane, x,x-dipropyl-",154,11,22,,,"69, 111, 154",Alkane,122.5507589,8.112888288,114.4378706,126.4437215
Laupahoehoe,LSAG 69,140,245,1,9,7.91,4.21,5.39,"Cyclopentane, x,x-dipropyl-",154,11,22,,,"69, 111, 154",Alkane,122.5507589,8.112888288,114.4378706,126.4437215
Laupahoehoe,LSAG 69,140,245,1,10,8.02,3.1,3.97,"Cyclopentane, x,x-dipropyl-",154,11,22,,,"69, 111, 154",Alkane,122.5507589,8.112888288,114.4378706,126.4437215
Laupahoehoe,LSAG 69,140,245,1,11,9.8,1.68,2.15,"Decane, x-methyl-",156,1,24,,,"57, 71, 156",Alkane,122.5507589,8.112888288,114.4378706,126.4437215
