#  Sample no 7 : Stan5
#  Number of scans: 2989
#  B=	150 - -1	274 - -1	1356 - -1
#  P=	163 - 269	320 - 1336	1845 - 2956
# 
#t [s]	Oxid.tube C	Postcomb.tube C	Flow N<sub>2</sub> ml/min	Flow lance ml/min	Input mbar	Output mbar	IR detect. unit
0	59	800	581	150	1555	1533	0
1	59	800	581	150	1555	1533	1040
2	59	799	581	150	1555	1534	1037
3	59	799	581	150	1555	1534	1034
4	59	799	581	150	1555	1534	1030
5	58	798	581	150	1555	1534	1027
6	59	798	581	150	1555	1534	1023
7	60	798	581	150	1555	1533	1019
8	60	798	581	150	1555	1534	1016
9	60	798	581	150	1555	1534	1011
10	60	797	581	150	1555	1533	1008
11	60	797	581	150	1555	1533	1005
12	60	797	581	150	1555	1533	1001
13	60	796	581	150	1555	1533	1001
14	60	796	581	150	1555	1533	1001
15	61	796	581	150	1555	1533	1002
16	61	795	581	150	1555	1533	1002
17	61	795	581	150	1555	1533	1002
18	61	795	581	150	1555	1533	1002
19	61	795	581	150	1555	1533	1001
20	61	794	581	150	1555	1533	1001
21	61	794	581	150	1555	1534	1001
22	61	794	581	150	1555	1534	1001
23	61	793	581	150	1555	1534	1001
24	61	793	581	150	1555	1533	1002
25	61	793	581	150	1555	1534	1002
26	61	793	581	150	1555	1534	1002
27	61	793	581	150	1555	1534	1005
28	61	793	581	150	1555	1534	1006
29	62	793	581	150	1555	1534	1007
30	62	793	581	150	1554	1533	1007
31	62	793	581	150	1555	1533	1007
32	62	794	581	150	1555	1534	1008
33	62	794	581	150	1555	1534	1007
34	62	794	581	150	1555	1534	1006
35	62	795	581	150	1555	1534	1005
36	62	795	581	150	1555	1534	1003
37	62	795	581	150	1555	1534	1002
38	62	795	581	150	1555	1534	1001
39	62	795	581	150	1555	1534	1000
40	62	795	581	150	1555	1534	1000
41	62	796	580	150	1555	1534	999
42	62	796	580	150	1555	1533	999
43	62	796	580	150	1555	1533	999
44	62	796	580	150	1555	1533	999
