Sample,Depth_bot,Depth_top,BD,Tot_C,Fm,D14C,obs_date_y,frc
Laupahoehoe,5,0,0.25,32.4,,0,1997,bulk
Laupahoehoe,12,5,0.32,13.9,,-206,1997,bulk
Laupahoehoe,28,12,0.34,10,,-226.34,1997,bulk
Laupahoehoe,38,28,0.34,10.9,,-319,2021,bulk
Laupahoehoe,54,38,0.34,5.9,,-331.3,1997,bulk
Laupahoehoe,80,54,0.48,10,,-584,1997,bulk
Kokee,4,0,0.25,27.8,,143,1997,bulk
Kokee,9,4,0.6,5.5,,-726,1997,bulk
Kokee,20,9,1.12,3.8,,-108,1997,bulk
Kokee,33,20,0.91,2.2,,-863.3,2021,bulk
Kokee,47,33,0.81,2,,-462,1997,bulk
Kokee,65,47,1.16,1.62,,-694,1997,bulk
Kokee,82,65,1.2,1.28,,-790,1997,bulk
Kokee,102,82,1.2,0.008505771,,-825,1997,bulk
Kokee,118,112,1.2,0.76,,-871,1997,bulk
SA Gr Toeslope,8,0,1.7,0.8,,58,2006,bulk
SA Gr Toeslope,15,8,1.9,0.7,,39.6,2006,bulk
SA Gr Toeslope,29,15,1.9,0.48,,2.6,2006,bulk
SA Gr Toeslope,46,29,1.9,0.3,,1,2006,bulk
SA Gr Toeslope,55,46,2,0.09,,-6,2006,bulk
SA Gr Crest,15,0,1.7,0.72,,67.5,2006,bulk
SA Gr Crest,41,15,1.8,0.22,,-35.6,2006,bulk
SA Gr Crest,62,41,1.8,0.16,,-85.6,2006,bulk
SA Gr Crest,95,62,1.9,0.15,,-170.6,2006,bulk
SA Gr Crest,105,95,1.9,0.13,,-32.9,2006,bulk
MiB1 Spodosol,8,5,1.7,0.773,1.0303,21.85956,2018,bulk
MiB1 Spodosol,36,22,1.7,0.33,0.9498,-57.98097,2018,bulk
MiB1 Spodosol,56,36,1.7,0.969,0.9035,-103.90167,2018,bulk
MiB1 Spodosol,76,56,1.7,0.689,0.9059,-101.52133,2018,bulk
SA Black Basalt,3,0,1.1,2.41,,-25.4,2009,bulk
SA Black Basalt,11,3,1.2,1.79,,-65.6,2009,bulk
SA Black Basalt,31,11,1.5,1.56,,-133.2,2009,bulk
SA Black Basalt,54,31,1.5,1.25,,-209.9,2009,bulk
AN Sierra,10,0,0.628859166,8.908813477,0.985066667,,2019,bulk
AN Sierra,20,10,0.608137825,8.402708054,0.956066667,,2019,bulk
AN Sierra,30,20,0.565037458,7.491356055,0.927133333,,2019,bulk
AN Sierra,40,30,0.564065794,6.586882273,0.9041,,2019,bulk
AN Sierra,50,40,0.624951516,6.325459003,0.874766667,,2019,bulk
AN Sierra,60,50,0.734551355,6.282227993,0.891266667,,2019,bulk
GR Sierra,10,0,0.584753363,3.036282195,1.02,,2019,bulk
GR Sierra,20,10,0.578920553,2.320438604,0.984566667,,2019,bulk
GR Sierra,30,20,0.692463981,2.005719324,0.963366667,,2019,bulk
GR Sierra,40,30,0.862509687,1.141694784,0.9224,,2019,bulk
GR Sierra,50,40,0.994841851,0.985549072,0.914766667,,2019,bulk
GR Sierra,60,50,1.084380209,0.730300993,0.906166667,,2019,bulk
GR Sierra,70,60,1.13112476,0.620025874,0.871066667,,2019,bulk
GR Sierra,80,70,1.135490527,0.838414416,0.862,,2019,bulk
GR Sierra,90,80,1.120096221,0.536423877,0.8322,,2019,bulk
BS Sierra,10,0,0.89,5.756522814,1.009266667,,2019,bulk
BS Sierra,20,10,0.89,2.797933181,0.9655,,2019,bulk
BS Sierra,30,20,0.89,1.923157573,0.9094,,2019,bulk
BS Sierra,40,30,0.89,1.501150449,0.889633333,,2019,bulk
BS Sierra,50,40,0.89,1.16739836,0.871066667,,2019,bulk
BS Sierra,60,50,0.89,1.210678856,0.883933333,,2019,bulk
BS Sierra,70,60,0.89,0.763012032,0.827566667,,2019,bulk
MiB1 Spodosol - Bulk,8,5,1.7,5.3,1.119,,2018,bulk
MiB1 Spodosol - Bulk,36,22,1.7,2.6,1.0332,,2018,bulk
MiB1 Spodosol - Bulk,56,36,1.7,1.7,0.9116,,2018,bulk
MiB1 Spodosol - Bulk,76,56,1.7,1.5,0.92,,2018,bulk
