"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
68,14.2916666666667,14,11.554942062295,11.646499158885,11.554942062295
69,14.7692307692308,14,15.2882753956283,17.7594840500108,15.2882753956283
71,29.5,29.5,18.1835134908664,28.2286013139406,18.1835134908664
72,31.6666666666667,32,20.0450519524049,31.3206332687433,20.0450519524049
73,34,34,21.6245391318921,32.9374080430546,21.6245391318921
74,33,33,23.1578724652254,33.3848150399233,23.1578724652254
75,32,32,25.250465057818,32.9687436623979,25.250465057818
77,30,30,27.0151709401709,30.7697233963599,27.0151709401709
81,28,28,28.8623931623932,26.478904902432,28.8623931623932
83,26,26,31.2111111111111,25.1698517188303,31.2111111111111
84,24,24,33.1777777777778,24.8138771274688,33.1777777777778
85,24,24,35.4666666666667,24.6910183400568,35.4666666666667
87,24,24,38.0666666666667,25.4602413395676,38.0666666666667
88,27,27,41.0666666666667,26.6968007403099,41.0666666666667
90,33,33,44.4,31.8016811756664,44.4
92,42,42,47.9333333333333,41.6527315653826,47.9333333333333
93,50,50,51.6666666666667,48.8220034090745,51.6666666666667
94,59,59,55.5,57.4968009692638,55.5
95,66,66,59.2333333333333,66.6740160561746,59.2333333333333
96,73,73,62.7666666666667,75.1128042087995,62.7666666666667
97,78,78,66.1666666666667,81.5723209661313,66.1666666666667
98,82,82,69.1444444444444,84.8117218671628,69.1444444444444
99,83,83,71.5444444444444,84.1104945346802,71.5444444444444
100,84,84,73.1111111111111,80.8294549266434,73.1111111111111
101,83.5,83.5,74.0777777777778,76.8497510848054,74.0777777777778
102,80,80,74.5111111111111,74.0525310509198,74.5111111111111
104,77,77,74.5511111111111,75.5290594037891,74.5511111111111
105,75,75,74.4177777777778,78.063625514986,74.4177777777778
106,71.6666666666667,71,74.4622222222222,80.3028484681332,74.4622222222222
108,69,69,75.2622222222222,79.4166315566047,75.2622222222222
109,65.5,65.5,76.3955555555555,74.0518750200922,76.3955555555555
110,64.5,64.5,81.4918518518518,64.8198722143057,81.4918518518518
111,65.5,65.5,91.4474074074074,55.1346159655747,91.4474074074074
112,66.6,66,106.36962962963,49.3168293326778,106.36962962963
113,71,71,127.56962962963,51.6872353743936,127.56962962963
114,78.6666666666667,78,149.902962962963,66.5665571495007,149.902962962963
115,94,92.5,173.925185185185,96.7268819227677,173.925185185185
116,100,100,199.391851851852,138.745753782922,199.391851851852
117,160.444444444444,140,225.891851851852,187.652081024681,225.891851851852
118,232.833333333333,213.5,253.836296296296,238.474771942763,253.836296296296
119,303.833333333333,297.5,283.202962962963,286.242734831884,283.202962962963
121,395,395,313.22962962963,360.658711266261,313.22962962963
123,410,410,343.42962962963,410.774284506274,343.42962962963
125,432,432,373.451851851852,444.392330294531,373.451851851852
126,451,451,403.02962962963,457.453179063816,403.02962962963
127,463,463,432.662962962963,469.205612973174,432.662962962963
128,483.666666666667,484,458.466666666667,480.0744344881,458.466666666667
130,506,506,479.477777777778,500.420004594772,479.477777777778
131,517,517,495.622222222222,510.526135316575,495.622222222222
132,524,524,504.782222222222,521.007417904062,504.782222222222
133,529,529,511.56,531.858326294409,511.56
134,537.666666666667,538,515.248888888889,541.792465913381,515.248888888889
135,544.5,544.5,515.888888888889,549.203225058895,515.888888888889
136,547.5,547.5,514.062222222222,552.483992028862,514.062222222222
137,548,548,508.759444444445,550.028155121197,508.759444444445
138,546,546,500.626111111111,540.753099737569,500.626111111111
139,532.4,535,491.292777777778,525.672199694664,491.292777777778
140,511.666666666667,510,481.492777777778,506.322825912921,481.492777777778
141,487.333333333333,487,470.926111111111,484.242349312781,470.926111111111
142,460.6,460,459.448333333333,460.91349133517,459.448333333333
143,435.6,435,447.048333333333,437.600375502951,447.048333333333
144,404.125,404,434.015,415.512475859471,434.015
145,384,384,420.615,395.859266448079,420.615
146,377,377,407.037222222222,379.850221312123,407.037222222222
147,377,377,394.310555555556,368.33979873459,394.310555555556
148,370.5,370.5,383.449444444444,360.762393957027,383.449444444444
149,365.5,365.5,374.480555555556,356.197386460619,374.480555555556
150,358.5,358.5,368.031031746032,353.724155726554,368.031031746032
151,352,352,363.791031746032,352.422081236016,363.791031746032
152,347,347,361.982698412698,351.553743118891,361.982698412698
153,342.333333333333,342,361.582698412698,351.11452409985,361.582698412698
154,341.5,341.5,361.649365079365,351.283007552263,361.649365079365
155,348.75,349,361.716031746032,352.237776849501,361.716031746032
156,352.8,353,362.282698412698,354.157415364935,362.282698412698
157,363.857142857143,365,363.216031746032,357.134142085083,363.216031746032
158,372,371,364.749365079365,360.914718449063,364.749365079365
161,377,377,366.816031746032,373.683515926665,366.816031746032
163,378,378,369.416031746032,379.989241755784,369.416031746032
164,378,378,372.460476190476,381.556124917784,372.460476190476
165,378,378,376.013809523809,382.118862114032,376.013809523809
166,379,379,379.930476190476,381.907075421343,379.930476190476
167,379.5,379.5,384.454920634921,381.150386916532,384.454920634921
168,381.5,381.5,394.197777777778,380.078418676413,394.197777777778
169,383,383,403.184957264957,379.204444817495,403.184957264957
170,386,386,411.023846153846,380.176347615051,411.023846153846
171,388,388,425.957179487179,384.925661384049,425.957179487179
172,394.8,394,441.223846153846,395.383920439456,441.223846153846
173,407.5,407.5,456.957179487179,413.482659096238,456.957179487179
174,420.666666666667,421,472.957179487179,440.152706044072,472.957179487179
175,510,509,489.768290598291,472.32206747147,489.768290598291
176,506.807692307692,512.5,507.501623931624,505.918043941654,507.501623931624
177,494.583333333333,491.5,525.768290598291,536.867936017845,525.768290598291
179,602,602,544.568290598291,581.736319104891,544.568290598291
180,607,607,564.201623931624,597.406179804851,564.201623931624
181,614,614,595.761623931624,610.333870557152,595.761623931624
182,619,619,622.650512820513,621.844929322832,622.650512820513
183,631.666666666667,632,650.161623931624,633.264894062928,650.161623931624
184,647.5,647.5,682.250512820513,646.15501632363,682.250512820513
185,657,657,713.778484848485,663.019401991736,713.778484848485
186,668,668,758.006262626263,686.597870539199,758.006262626263
187,682.5,682.5,795.872929292929,719.630241437968,795.872929292929
188,868.2,707,834.339595959596,764.856334159995,834.339595959596
189,810.833333333333,737,873.539595959596,823.640657015842,873.539595959596
190,833.333333333333,786,913.739595959596,891.846473670514,913.739595959596
191,991.333333333333,1029,954.561818181818,963.961736627625,954.561818181818
192,979.727272727273,1000,997.639595959596,1034.47439839079,997.639595959596
193,1158,1158,1043.30626262626,1097.87241146363,1043.30626262626
194,1170,1170,1090.61737373737,1149.85887264177,1090.61737373737
195,1184,1184,1138.31737373737,1190.9974558889,1138.31737373737
196,1202,1202,1173.61515151515,1223.06697946071,1173.61515151515
197,1222,1222,1212.3595959596,1247.84626161292,1212.3595959596
198,1244,1244,1256.77441077441,1267.44958540027,1256.77441077441
199,1293.66666666667,1294,1303.75853775854,1285.33309307376,1303.75853775854
200,1342,1342,1348.2582010582,1305.28839168342,1348.2582010582
201,1377.66666666667,1379,1404.52486772487,1331.1070882793,1404.52486772487
202,1398,1398,1462.9582010582,1366.58078991144,1462.9582010582
203,1397.66666666667,1398,1524.5582010582,1414.62620832263,1524.5582010582
204,1392,1392,1589.02486772487,1474.66047402664,1589.02486772487
205,1499.55555555556,1444,1671.11375661376,1545.22582223001,1671.11375661376
206,1696.09523809524,1676,1751.7582010582,1624.86448813925,1751.7582010582
207,1647.22222222222,1603,1836.68708994709,1712.1187069609,1836.68708994709
209,2002,2002,1932.73708994709,1905.95270049314,1932.73708994709
210,2046.5,2045.5,2037.15931216931,2012.79313556453,2037.15931216931
211,2108,2108,2145.72597883598,2126.6154661071,2145.72597883598
212,2169,2169,2260.11486772487,2247.6943945716,2260.11486772487
213,2453.33333333333,2261,2382.98153439153,2375.45767457916,2382.98153439153
214,2453.66666666667,2381.5,2506.1444973545,2505.94526443247,2506.1444973545
215,2567.6,2568,2615.63814814815,2634.35017360456,2615.63814814815
216,2782.75,2776.5,2738.03117647059,2755.8654115685,2738.03117647059
217,2944,2944,2879.73117647059,2865.68398779733,2879.73117647059
219,3026.5,3026.5,3010.25784313725,3046.58265027602,3010.25784313725
220,3113.5,3113.5,3151.82450980392,3129.47050930638,3151.82450980392
221,3235,3226.5,3293.35784313725,3216.48752349559,3293.35784313725
222,3347,3351.5,3420.96895424836,3314.51129531729,3420.96895424836
223,3338.5,3338.5,3554.85784313725,3430.41942724511,3554.85784313725
224,3483.11764705882,3435,3686.35117647059,3568.34276665085,3686.35117647059
226,4127.5,4127.5,3806.96784313725,3880.06362065179,3806.96784313725
227,4004.4,3946,3924.38450980392,4034.65527897211,3924.38450980392
231,4231.5,4231.5,4045.41784313725,4420.49513117857,4045.41784313725
232,4292,4292,4285.33265795207,4410.80875827423,4285.33265795207
234,4367.5,4367.5,4520.99326401268,4279.11715342135,4520.99326401268
235,4462,4462,4699.65993067934,4251.03727166233,4699.65993067934
236,4540,4540,4998.42659734601,4317.60800723004,4998.42659734601
237,4592,4592,5344.21875420875,4530.93436278581,5344.21875420875
238,4705.25,4707.5,5653.78542087542,4923.0965303389,5653.78542087542
239,4842,4840,5978.69208754209,5446.07545929022,5978.69208754209
240,6712.22222222222,7509,6301.02542087542,6031.8272883886,6301.02542087542
241,6769.90909090909,6869,6647.58097643098,6612.30815638283,6647.58097643098
242,6027,5914,7018.88097643098,7119.4742020218,7018.88097643098
243,7820,7820,7684.14764309764,7506.30897022822,7684.14764309764
245,8670,8670,8238.37430976431,8088.38475899085,8238.37430976431
246,8771,8771,8754.10764309764,8399.86693113169,8754.10764309764
247,8878,8878,9488.97492704826,8802.47272283526,9488.97492704826
248,9066.5,9066.5,10492.3082603816,9354.32270989387,10492.3082603816
249,9490.33333333333,9481,11417.8267789001,10096.4858649067,11417.8267789001
250,9937,9937,12391.0772839506,11001.8247477007,12391.0772839506
251,14441,14440.5,13498.6677601411,12026.1503149095,13498.6677601411
252,12853.4,11482,14713.9391887125,13125.273523167,14713.9391887125
253,12328,12328,16105.8280776014,14268.9814786754,16105.8280776014
254,15728.2592592593,15683,17473.9280776014,15482.9658859109,17473.9280776014
256,19892,19892,18922.2058553792,18280.4354717418,18922.2058553792
257,20595,20595,20498.7058553792,19943.2563584265,20498.7058553792
258,21368.6666666667,21376,22056.883633157,21835.0251130169,22056.883633157
259,22640.8571428571,22623,23590.9502998236,23958.0298896639,23590.9502998236
260,26049.0714285714,25787,24826.7502998236,26165.040042943,24826.7502998236
261,29548.3333333333,28619,26166.6569664903,28271.4452275359,26166.6569664903
262,29292.5,29292.5,27538.3902998236,30092.6350981242,27538.3902998236
263,30602.1666666667,30736,28684.7396825397,31443.9993093898,28684.7396825397
265,32714,32714,29570.173015873,32474.1614841894,29570.173015873
267,32863,32863,31084.9596825397,32261.8095469366,31084.9596825397
268,32948,32948,32420.1091774892,32119.4501320756,32420.1091774892
269,32978,32978,33659.7187012987,32182.1734041436,33659.7187012987
270,32952,32952,35385.9139393939,32621.8831014544,35385.9139393939
271,32904,32904,36929.3583838384,33564.1207327455,36929.3583838384
272,32923.5,32923.5,38513.4583838384,34948.9788884471,38513.4583838384
273,33173.5,33173.5,40027.5806060606,36670.1879294128,40027.5806060606
274,43316.8,48985,41394.6472727273,38621.4782164962,41394.6472727273
275,41395.9090909091,37296,42720.6472727273,40703.1478124683,42720.6472727273
276,41235,40887,44505.7139393939,42841.7655877696,44505.7139393939
280,51942,51942,46099.0972727273,50628.4499294225,46099.0972727273
281,52700,52700,47548.3639393939,52048.8571867368,47548.3639393939
282,53054,53054,50024.4972727273,53125.0320575272,50024.4972727273
283,53314,53314,52553.1972727273,53843.7070321023,52553.1972727273
284,53220,53220,55106.2306060606,54405.9982725741,55106.2306060606
285,52753,52753,57009.5772727273,55066.6178590057,57009.5772727273
286,59724,59011,59050.05,56080.27787146,59050.05
287,56878.75,56627.5,61385.0277777778,57701.6903899998,61385.0277777778
288,54691,54609,63163.6944444444,60086.5701873229,63163.6944444444
289,70046,70046,64321.1944444444,62994.642806666,64321.1944444444
292,70854,70854,65708.3944444444,71465.2999555308,65708.3944444444
293,71469,71469,67361.4926900585,73073.4262216694,67361.4926900585
294,71867,71867,68920.1149122807,73643.5827033735,68920.1149122807
295,72003,72003,71247.048245614,73512.4787074543,71247.048245614
296,76259.6666666667,71716,73117.9149122807,73152.0197549108,73117.9149122807
297,78622,78622,75179.298245614,73034.111366742,75179.298245614
298,70062.5,70062.5,77584.8982456141,73630.6590639471,77584.8982456141
299,73862,69522.5,79150.2411027569,75277.2779893067,79150.2411027569
300,78110.4736842105,78993,80728.5744360902,77764.4217727291,80728.5744360902
301,76599.3333333333,76404,82281.0411027569,80746.2536659047,82281.0411027569
302,87657,87657,83797.6411027569,83876.9369205234,83797.6411027569
303,87787,87779,85299.7744360902,86810.6347882754,85299.7744360902
304,87799.5,87799.5,86523.4633249791,89266.3762541943,86523.4633249791
305,90775,89620,87624.9633249791,91222.6532366884,87624.9633249791
306,93526.1428571429,93964,89363.4633249791,92722.8233875093,89363.4633249791
307,94529,94529,91011.3833249791,93810.2443584088,91011.3833249791
310,94756,94756,92481.7164519141,95029.5887090961,92481.7164519141
311,94616,94616,94132.2942296919,94927.7747522489,94132.2942296919
312,94535,94535,95158.7608963586,94799.1115207687,95158.7608963586
313,94615,94615,96251.6608963586,94856.068312937,96251.6608963586
314,95144.5,95144.5,97584.3942296919,95311.1144270356,97584.3942296919
315,96140,96140,98771.1942296919,96314.24076637,98771.1942296919
