"temp","CO2_av","CO2_med","Moving","Modelled","CO2_scaled"
100,51,51,51.8208333333333,51.8505009787257,51.8208333333333
101,51.75,52.5,53.6208333333333,53.1622703925886,53.6208333333333
102,53.5,53.5,55.6041666666667,54.2685587866757,55.6041666666667
103,54.6598720349581,54.1731030472331,56.9079779269619,55.1536319676563,56.9079779269619
104,55.0989553534313,54.6062848281722,57.5279845624302,55.8017557421999,57.5279845624302
105,55.1135609951888,54.8613241950252,57.7110822500167,56.1971959169759,57.7110822500167
106,55,55,57.7041666666667,56.3242182986536,57.7041666666667
107,55.0229749783583,55.1086972224995,57.7846965611606,56.1969555546111,57.7846965611606
108,55.3207548236537,55.3722253507068,58.3523829696196,55.9490077950616,58.3523829696196
109,56,56,59.8375,55.7438419909269,59.8375
110,57,57,62.0375,55.7449251131286,62.0375
111,57.9187959395013,57.9214362857071,63.1371122293776,56.1157241325887,63.1371122293776
112,59.5,59.5,64.3625,57.0197060202288,64.3625
113,62,62,66.7625,58.6203377469709,66.7625
114,63.423454110911,63.4236242305656,68.0912561558785,61.0810862837367,68.0912561558785
115,65,65,69.3625,64.5654186014479,69.3625
116,68,68,71.9125,69.0866550085261,71.9125
117,71,71,74.5625,74.0575291633914,74.5625
118,75,75,77.4083333333333,78.7406280619636,77.4083333333333
119,78,78,80.4583333333333,82.3985387001627,80.4583333333333
120,81,81,83.5833333333333,84.2938480739083,83.5833333333333
121,84,84,86.7333333333333,84.0768462194816,86.7333333333333
122,86,86,89.9083333333333,82.9486353346099,89.9083333333333
123,90.5,90.5,93.0333333333333,82.4980206573816,93.0333333333333
124,95,95,96.1833333333333,84.313807425885,96.1833333333333
125,98,98,99.4583333333333,89.9848008782088,99.4583333333333
126,101,101,109.883333333333,100.284394851292,109.883333333333
127,104,104,114.033333333333,112.724337577478,114.033333333333
128,108.666666666667,109,122.291666666667,124.000965887959,122.291666666667
129,114.5,114.5,134.897480620155,130.810616613931,134.897480620155
130,117.5,117.5,160.647480620155,129.849626586585,160.647480620155
131,119,119,186.697480620155,119.694825626684,186.697480620155
132,120.5,120.5,212.947480620155,106.445015513261,212.947480620155
133,122,122,239.255813953488,98.0794910149195,239.255813953488
134,125,125,265.605813953488,102.577546900261,265.605813953488
135,130.5,130.5,292.005813953488,127.918477937887,292.005813953488
136,276.5,142,318.655813953488,179.148177237073,318.655813953488
137,154,154,345.980813953488,249.578931269779,345.980813953488
138,240.166666666667,175.5,374.509980620155,329.589624848644,374.509980620155
139,330.116279069767,318,404.184980620155,409.559142786301,404.184980620155
140,596,596,435.669980620155,479.866369895385,435.669980620155
141,661.275983491329,658.844057599451,450.985081494141,533.057837876918,450.985081494141
142,605,605,467.069980620155,570.350665985476,467.069980620155
143,611,611,497.444980620155,595.129620364019,497.444980620155
144,617.841483762535,617.935716825863,513.297629462234,610.779467155511,513.297629462234
145,616.666666666667,617,528.459563953488,620.684972502911,528.459563953488
146,622,622,561.591142900857,628.230902549184,561.591142900857
