date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,100,11.8666666666667,11,11,11.8666666666667,11.0421132337787
1:00:06 AM,101,11.6916666666667,11.6666666666667,11,11.6916666666667,12.9447608432633
1:00:11 AM,102,11.3666666666667,15.6666666666667,15,11.3666666666667,14.8545446809897
1:00:16 AM,103,11.0166666666667,16,16,11.0166666666667,16.4636348562104
1:00:21 AM,104,10.8618631560745,16.2117170926279,16.3689753157785,10.8618631560745,17.5189104939532
1:00:26 AM,105,10.7166666666667,17,17,10.7166666666667,17.9860867823475
1:00:31 AM,106,10.4316666666667,17.5,17.5,10.4316666666667,17.8855879252984
1:00:36 AM,107,10.3148470621984,16.9650546130935,16.9751945116897,10.3148470621984,17.2378381267109
1:00:41 AM,108,10.2316666666667,16,16,10.2316666666667,16.0632615904898
1:00:46 AM,109,9.99833333333333,14.5,14.5,9.99833333333333,14.3822825205403
1:00:51 AM,110,9.815,11,11,9.815,12.2153251207672
1:00:56 AM,111,9.865,10.5,10.5,9.865,9.64061580534186
1:01:01 AM,112,10.065,8,8,10.065,6.96758982950057
1:01:06 AM,113,10.2316666666667,5.5,5.5,10.2316666666667,4.56348465874603
1:01:11 AM,114,10.1483333333333,2.5,2.5,10.1483333333333,2.79553775858081
1:01:16 AM,115,10.0233333333333,2,2,10.0233333333333,2.03098659450757
1:01:21 AM,116,9.87333333333334,3,3,9.87333333333334,2.50991762916965
1:01:26 AM,117,9.74833333333334,3.8,3,9.74833333333334,3.96381331377327
1:01:31 AM,118,9.79833333333334,6,6,9.79833333333334,5.99700509666539
1:01:36 AM,119,9.97333333333334,6.33333333333333,6,9.97333333333334,8.21382442619298
1:01:41 AM,120,10.3733333333333,7.33333333333333,7,10.3733333333333,10.2186027507029
1:01:46 AM,121,11.0983333333333,12,12,11.0983333333333,11.6993970356667
1:01:51 AM,122,12.2733333333333,15,15,12.2733333333333,12.6791663150534
1:01:56 AM,123,13.7983333333333,15,15,13.7983333333333,13.2645951399568
1:02:01 AM,124,15.6733333333333,14,14,15.6733333333333,13.5623680614704
1:02:06 AM,125,16.5250655094396,13.3138144502049,13.3105720883164,16.5250655094396,13.679169630688
1:02:11 AM,126,16.6158065461833,13.0717501387158,13.06866064666,16.6158065461833,13.7216843987031
1:02:16 AM,127,16.747810976502,13.1688107578689,13.1674188816736,16.747810976502,13.7965969166094
1:02:21 AM,128,17.7233333333333,13.5,13.5,17.7233333333333,14.0105917355005
1:02:26 AM,129,19.9233333333333,14,14,19.9233333333333,14.4703534064701
1:02:31 AM,130,22.3666666666667,15,15,22.3666666666667,15.2871172394586
1:02:36 AM,131,24.9166666666667,17,17,24.9166666666667,16.5903215797927
1:02:41 AM,132,27.65,18,18,27.65,18.5139555316461
1:02:46 AM,133,30.5708333333333,19,19,30.5708333333333,21.1920081991924
1:02:51 AM,134,33.5708333333333,25,25,33.5708333333333,24.7584686866051
1:02:56 AM,135,37.0565476190476,31.5,31.5,37.0565476190476,29.2545039130938
1:03:01 AM,136,42.1365476190476,36,36,42.1365476190476,34.3499920580112
1:03:06 AM,137,46.8615476190476,40,40,46.8615476190476,39.6219891157461
1:03:11 AM,138,52.5921031746032,43,43,52.5921031746032,44.6475510806872
1:03:16 AM,139,58.8421031746032,47,47,58.8421031746032,49.0037339472231
1:03:21 AM,140,66.1921031746032,52.6666666666667,53,66.1921031746032,52.4973255714379
1:03:26 AM,141,73.6421031746032,57,57,73.6421031746032,55.8540412561956
1:03:31 AM,142,81.3421031746032,61,61,81.3421031746032,60.0293281660557
1:03:36 AM,143,89.3171031746032,65.75,65.5,89.3171031746032,65.9786334655778
1:03:41 AM,144,97.4671031746032,72,72,97.4671031746032,74.657404319321
1:03:46 AM,145,106.150436507936,84.7142857142857,86,106.150436507936,86.6512081657911
1:03:51 AM,146,115.587936507936,116.6,98,115.587936507936,101.066093539279
1:03:56 AM,147,124.794186507936,108.5,108.5,124.794186507936,116.638229248024
1:04:01 AM,148,134.426004689755,128.111111111111,131,134.426004689755,132.103784100261
