"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
68,63.3194444444444,50,492.007645502646,372.613909017532,492.007645502646
69,977,977,530.914312169312,639.331473245064,530.914312169312
71,1117,1117,558.260978835979,1089.30424217096,558.260978835979
73,1170,1170,574.394312169312,1236.68812453293,574.394312169312
74,1167,1167,580.827645502645,1206.67012240402,580.827645502645
75,1156,1156,583.177645502645,1127.20695083351,583.177645502645
76,1015.5,1015.5,585.882407407407,1013.06970439517,585.882407407407
78,760,760,588.65462962963,739.857365209986,588.65462962963
79,582,582,587.433333333333,608.038124096167,587.433333333333
81,404,404,525.766666666667,377.529546376063,525.766666666667
83,230,230,455.3,198.214637911428,455.3
84,86,86,381.833333333333,130.387483366945,381.833333333333
86,31,31,309.333333333333,43.6591210877168,309.333333333333
88,33,33,238.133333333333,22.2599611350778,238.133333333333
89,38,38,176.566666666667,28.3027207505375,176.566666666667
90,45,45,132.233333333333,39.9852760777842,132.233333333333
91,52,52,99.8333333333333,53.1663041047684,99.8333333333333
92,60,60,79.1666666666667,64.4393045239006,79.1666666666667
93,68,68,69.5666666666667,73.3370678454292,69.5666666666667
95,79.5,79.5,68.9666666666667,85.0773360545085,68.9666666666667
96,88,88,71.7,88.4550673714755,71.7
97,92,92,73.9333333333333,90.5280144496716,73.9333333333333
98,95,95,75.5333333333333,91.4941968708043,75.5333333333333
99,96,96,76.2833333333333,91.2732596845784,76.2833333333333
100,94,94,76.1166666666667,89.715254307698,76.1166666666667
101,86,86,75.0833333333333,86.670232156867,75.0833333333333
102,77,77,73.15,81.9882446487895,73.15
103,72,72,70.2944444444444,75.6696048042157,70.2944444444444
104,66.5,66.5,67.0277777777778,68.3156720600794,67.0277777777778
105,62,62,63.6944444444444,60.6780674573607,63.6944444444444
106,56.25,56,60.3611111111111,53.5084120370396,60.3611111111111
107,49.5,49.5,57.1944444444444,47.558326840096,57.1944444444444
108,44.5,44.5,54.1277777777778,43.4013422418336,54.1277777777778
109,39,39,51.8611111111111,40.8986259548501,51.8611111111111
110,36.6666666666667,37,50.3277777777778,39.7332550260671,50.3277777777778
111,39,39,49.3277777777778,39.5883065024059,49.3277777777778
112,42,42,48.8944444444444,40.1755881540567,48.8944444444444
114,45,45,48.9611111111111,42.8824953596213,48.9611111111111
117,48.5,48.5,49.7444444444444,48.6056367216244,49.7444444444444
118,48,48,51.3111111111111,50.3786042027334,51.3111111111111
119,52,52,53.5444444444445,51.8433008416186,53.5444444444445
121,54,54,56.8444444444444,53.8714017369104,56.8444444444444
123,57,57,61.0666666666667,56.5420034900668,61.0666666666667
124,60,60,65.6,58.8850355260401,65.6
125,63,63,70.5333333333333,62.3088447817147,70.5333333333333
126,68,68,75.8666666666667,67.120148592169,75.8666666666667
127,73,73,81.9666666666667,73.5007378366036,81.9666666666667
128,78,78,89.6666666666667,81.1326975707084,89.6666666666667
129,88.5,88.5,98.7666666666667,89.5731863942955,98.7666666666667
130,100,100,109.4,98.3793629071769,109.4
131,107,107,121.5,107.108385709165,121.5
132,116,116,135.566666666667,115.732112325934,135.566666666667
133,125,125,151.433333333333,125.881195986609,151.433333333333
134,140,140,168.122222222222,139.600988846176,168.122222222222
135,163.5,163.5,185.088888888889,158.936843059624,185.088888888889
136,188.5,188.5,201.831746031746,185.035699359951,201.831746031746
137,213.5,213.5,217.312698412698,215.4508527922,217.312698412698
138,238.5,238.5,231.946932646933,246.837186979429,231.946932646933
139,271,271.5,246.213599313599,275.849585544692,246.213599313599
140,301,301,259.946932646933,299.142932111045,259.946932646933
141,318.333333333333,319,273.080265980266,314.254559277525,273.080265980266
142,327.5,327.5,285.313599313599,322.251595547092,285.313599313599
143,329.142857142857,331,296.013599313599,325.083618398687,296.013599313599
144,320.714285714286,321,305.246932646933,324.70020531125,305.246932646933
145,319.513513513513,322,312.946932646933,323.050933763723,312.946932646933
146,321,321,319.213599313599,321.750082411241,319.213599313599
148,322,322,323.613599313599,320.9506749073,323.613599313599
150,322,322,326.213599313599,322.139557912177,326.213599313599
151,323.5,323.5,327.858043758044,323.324069695718,327.858043758044
152,324,324,329.291377091377,324.819007714818,329.291377091377
153,327,327,330.94851994852,326.603239469464,330.94851994852
154,329,329,333.980900900901,328.819964315127,333.980900900901
155,332.5,332.5,337.246666666667,331.653464571143,337.246666666667
156,337,337,341.046666666667,335.28802255685,341.046666666667
157,340,340,345.046666666667,339.830830854913,345.046666666667
158,343,343,349.246666666667,345.080723101306,349.246666666667
159,349,349,353.48,350.759443195327,353.48
160,354,354,357.78,356.588735036278,357.78
161,366.2,364,361.88,362.290342523457,361.88
162,368.5,368.5,365.746666666667,367.621900181366,365.746666666667
164,378,378,369.313333333333,376.815544735815,369.313333333333
166,382,382,372.48,383.630479278517,372.48
167,385,385,375.346666666667,385.988649421742,375.346666666667
168,387,387,377.946666666667,387.563405013564,377.946666666667
169,388.5,388.5,380.146666666667,388.329585124958,380.146666666667
170,388.5,388.5,382.013333333333,388.413034508742,382.013333333333
174,387,387,383,385.191448233393,383
176,386,386,383.766666666667,383.737771235358,383.766666666667
177,384.5,384.5,383.8,383.622798377733,383.8
178,383,383,383.4,384.025668839669,383.4
179,382,382,382.6,384.569002099069,382.6
180,382,382,381.5,384.767222294762,381.5
181,382,382,380.104761904762,384.134753565576,380.104761904762
182,381,381,379.004761904762,382.186020050339,379.004761904762
183,380,380,378.471428571429,378.707235640297,378.471428571429
184,378.5,378.5,378.271428571428,374.571773236362,378.271428571428
185,376,376,380.131428571429,370.924795491859,380.131428571429
186,373,373,381.214761904762,368.911465060118,381.214761904762
187,370.5,370.5,384.881428571429,369.428355950766,384.881428571429
188,367.571428571429,368,388.814761904762,372.377687598629,388.814761904762
189,372,372,392.948095238095,377.413090794833,392.948095238095
190,379,379,397.281428571429,384.188196330505,397.281428571429
191,383,383,401.814761904762,392.356634996772,401.814761904762
192,412.4,421,406.514761904762,401.543748904527,406.514761904762
193,399.25,404,411.448095238095,411.261725443743,411.448095238095
194,437,437,416.714761904762,420.994463324159,416.714761904762
195,441,441,422.514761904762,430.225861255513,422.514761904762
198,444,444,429.31,449.751002452611,429.31
200,446,446,436.643333333333,452.406210457632,436.643333333333
201,448,448,444.876666666667,451.608075957524,444.876666666667
203,449,449,452.81,449.206088277144,452.81
204,450,450,461.083333333333,448.9805384269,461.083333333333
205,452,452,471.4,450.324153456638,471.4
206,457.5,457.5,480.966666666667,453.85296379668,480.966666666667
208,469.5,469.5,492.055555555556,468.68723113918,492.055555555556
209,482,482,503.955555555556,480.493536655352,503.955555555556
210,502.5,502.5,518.222222222222,495.559855743947,518.222222222222
211,502,502,533.066666666667,513.945620254662,533.066666666667
212,536.5,536.5,550.066666666667,534.946292408557,550.066666666667
213,554,558,567.933333333333,557.666342019534,567.933333333333
214,580.5,580.5,586.6,581.210238901492,586.6
215,607.333333333333,604,605.966666666667,604.682452868333,605.966666666667
216,622.5,622.5,625.6,627.281300000911,625.6
217,660,660,646.033333333333,648.580481447881,646.033333333333
218,670.666666666667,678,666.733333333333,668.247544624857,666.733333333333
221,704,704,689.733333333333,714.131498691919,689.733333333333
222,718,718,710.4,723.945562945022,710.4
224,732,732,732.7,736.869898390192,732.7
225,748,748,756.9,744.143993674853,756.9
226,764,764,783.777777777778,755.027906987559,783.777777777778
227,788.5,788.5,815.361111111111,771.823038068306,815.361111111111
228,813,813,850.761111111111,796.830786657089,850.761111111111
229,847,847,892.756666666667,831.569723475421,892.756666666667
230,846.5,846.5,938.556666666667,874.427103170883,938.556666666667
231,888.5,888.5,985.423333333333,923.007351372575,985.423333333333
232,943.5,942.5,1033.42333333333,974.914893709596,1033.42333333333
233,1010.5,1010.5,1083.79,1028.03807827277,1083.79
234,1096.25,1095.5,1136.79,1081.40094299984,1136.79
235,1191,1191,1190.89,1134.31144829026,1190.89
238,1300.6,1301,1247.95666666667,1283.40841153628,1247.95666666667
240,1391,1391,1315.74,1367.85719717388,1315.74
242,1421,1421,1400.30666666667,1438.42718691221,1400.30666666667
243,1452,1452,1480.05666666667,1473.5869227081,1480.05666666667
244,1503.5,1503.5,1571.95666666667,1512.28002524797,1571.95666666667
245,1559,1559,1664.12333333333,1557.21914912641,1664.12333333333
247,1600,1600,1755.24,1676.6860792775,1755.24
248,1669,1669,1849.30666666667,1755.52259292442,1849.30666666667
249,1863.75,1830.5,1945,1844.75613539867,1945
250,2115,2115,2039.06666666667,1940.39975040515,2039.06666666667
251,2084.75,2083,2144.51111111111,2038.46648164879,2144.51111111111
256,2322,2322,2259.67777777778,2425.6034110961,2259.67777777778
257,2393,2393,2385.64444444444,2458.51053654979,2385.64444444444
258,2463,2463,2534.24444444444,2490.09875807921,2534.24444444444
259,2602,2602,2709.89444444444,2540.54779329345,2709.89444444444
260,2736,2736,2932.36111111111,2630.03735980163,2932.36111111111
261,2802,2802,3141.71111111111,2773.81928515062,3141.71111111111
262,3002.66666666667,3002,3363.71111111111,2967.43383663835,3363.71111111111
263,3179.5,3179.5,3601.99444444444,3201.49339150052,3601.99444444444
264,3393,3393,3852.32777777778,3466.6103269728,3852.32777777778
266,3788,3788,4090.69444444444,4052.46584869051,4090.69444444444
267,4234.75,4278.5,4366.36111111111,4355.27627543004,4366.36111111111
268,5006,5006,4690.56111111111,4656.67610785881,4690.56111111111
269,5004,5004,4989.07222222222,4952.36023934883,4989.07222222222
270,5445,5445,5341.07222222222,5238.02356327213,5341.07222222222
272,5659,5659,5701.96111111111,5762.0673619067,5701.96111111111
274,6077,6077,6073.86111111111,6213.99723868259,6073.86111111111
275,5968.5,5968.5,6431.52777777778,6431.60257171936,6431.52777777778
276,6598,6598,6808.32777777778,6657.52528029522,6808.32777777778
277,7465,7465,7177.07777777778,6902.18319874008,7177.07777777778
278,7213.66666666667,6939,7515.07777777778,7175.99416138385,7515.07777777778
280,8082,8082,7872.74444444445,7818.25170016397,7872.74444444445
282,8416,8416,8219.41111111111,8495.16628915614,8219.41111111111
286,8758,8758,8551.81111111111,9458.46076216391,8551.81111111111
287,8758,8758,8891.01111111111,9527.77868694966,8891.01111111111
288,9440,9440,9272.68888888889,9497.58771837313,9272.68888888889
289,9766,9766,9651.35555555555,9377.28488297804,9651.35555555555
290,10076,10076,10013.0222222222,9275.66854543451,10013.0222222222
291,10369,10369,10659.1111111111,9326.38740494426,10659.1111111111
292,10645,10645,11376.9361111111,9663.09016070903,11376.9361111111
293,10645,10645,12392.4027777778,10381.6635137725,12392.4027777778
294,11165,11165,13438.0027777778,11426.9461725461,13438.0027777778
295,11693.6666666667,11688,14537.1361111111,12706.0148472832,14537.1361111111
296,12278,12278,15645.3361111111,14125.9462482373,15645.3361111111
297,12890,12988,16787.2027777778,15593.8170856617,16787.2027777778
298,16905,14913,17964.5361111111,17030.7456191166,17964.5361111111
299,18849.375,18608.5,19235.4694444444,18414.0163053884,19235.4694444444
300,23648,23648,20431.4694444444,19734.9551505704,20431.4694444444
303,24442,24442,21767.6361111111,23237.04070051,21767.6361111111
306,25245,25245,23150.2361111111,25865.8758999977,23150.2361111111
308,26063,26063,24549.3916666667,27053.056633521,24549.3916666667
310,26894,26894,25959.5916666667,27891.143839278,25959.5916666667
311,27736,27736,27401.0916666667,28223.9978898637,27401.0916666667
314,29433,29433,28645.825,29092.4603314237,28645.825
315,28585,28585,29834.0333333333,29398.208602704,29834.0333333333
316,30687.5,30687.5,31117.7476190476,29765.388393265,31117.7476190476
317,31904,31904,32388.2142857143,30329.3251287917,32388.2142857143
318,32681,32681,34069.3476190476,31248.8316784566,34069.3476190476
319,33431,33431,35791.9476190476,32682.7209114322,35791.9476190476
320,34512.5,34512.5,37562.3476190476,34726.2526078895,37562.3476190476
321,35576,35576,39389.3476190476,37220.4741919937,39389.3476190476
322,36672.5,36672.5,41227.2142857143,39942.8799989083,41227.2142857143
323,42903.7142857143,40674,43258.080952381,42670.9643637969,43258.080952381
324,43499,43479.5,45298.1809523809,45182.2216218231,45298.1809523809
325,50462,50462,47504.2142857143,47302.7681495636,47504.2142857143
327,51902,51902,50011.7809523809,50502.7692245147,50011.7809523809
330,53450,53450,52736.8476190476,53738.4396402407,52736.8476190476
332,55141,55141,55640.0142857143,55660.3092620763,55640.0142857143
333,57001,57001,58696.5476190476,56758.3506273244,58696.5476190476
335,59048,59048,61861.4476190476,59511.6294021607,61861.4476190476
336,61289,61289,64789.8,61218.4887530556,64789.8
338,64994.5,64994.5,67767.9333333333,65401.9678655254,67767.9333333333
340,70294.5,70294.5,70364.5666666667,70757.5548372038,70364.5666666667
341,74307,74307,72898.3,73929.5490121095,72898.3
342,78060,78060,75353.1666666667,77403.4803741916,75353.1666666667
343,81424,81424,77701.0333333333,80917.8026808864,77701.0333333333
344,84146,84146,79935.1333333333,84154.2876217688,79935.1333333333
345,86829,86829,82050.9666666667,86794.7068864131,82050.9666666667
346,88171,88171,84022.1,88603.0548101058,84022.1
347,89411.5,89347,85773.4333333333,89672.2163109806,85773.4333333333
348,89908,89920,87214.0666666667,90177.2989528826,87214.0666666667
349,90273,90273,88419.9333333333,90293.4102996569,88419.9333333333
351,90359,90359,89416.2,90059.1493632038,89416.2
354,90512.5,90512.5,90237.2,90273.1324998472,90237.2
356,90785.5,90701,90934.2666666667,90780.372153584,90934.2666666667
357,90856,90856,91518.5333333333,91072.0033798799,91518.5333333333
358,91264.5,91264.5,92124.4,91357.2582638541,92124.4
360,91904,91904,92806.3,91813.487179018,92806.3
363,92395,92395,93647.2111111111,92249.2938749325,93647.2111111111
365,93004,93004,94656.2777777778,93001.3202372055,94656.2777777778
366,93739,93739,95699.7444444444,93707.0726531125,95699.7444444444
367,94602,94602,96716.8444444445,94717.6701878761,96716.8444444445
368,95593,95593,97697.4444444445,96096.8770632535,97697.4444444445
369,97259,97259,98675.2444444444,97860.4827791669,98675.2444444444
370,99640,99640,99635.0111111111,99832.3779481988,99635.0111111111
371,102521.666666667,102558,100566.544444444,101788.478461097,100566.544444444
372,105409,105593,101483.411111111,103504.700208608,101483.411111111
375,106011,106011,102379.944444444,106250.276875956,102379.944444444
376,105769,105769,103248.411111111,106516.139841892,103248.411111111
377,105494.5,105494.5,104088.477777778,106556.836926987,104088.477777778
381,105523,105523,104918.077777778,105661.95142795,104918.077777778
383,105661,105661,105638.7,105415.693853075,105638.7
384,105877,105877,106202.366666667,105535.215138227,106202.366666667
385,106148,106148,106561.388888889,105807.602986263,106561.388888889
386,106452,106452,106709.388888889,106192.995101759,106709.388888889
387,106766,106766,106792.055555556,106651.529189293,106792.055555556
388,107203,107203,106838.088888889,107143.342953443,106838.088888889
389,108037,108263,106833.322222222,107631.002001077,106833.322222222
390,108068.333333333,108120.5,106697.322222222,108086.783548222,106697.322222222
392,108095,108095,106397.055555556,108801.534614325,106397.055555556
394,107907,107907,105816.908888889,109085.237098305,105816.908888889
397,107629,107629,104929.808888889,108259.914303379,104929.808888889
399,107251,107251,103924.008888889,106614.111125791,103924.008888889
400,106459.5,106459.5,102797.575555556,105439.311225463,102797.575555556
401,105423,105423,101599.342222222,104029.622594442,101599.342222222
402,103483,103523,100272.142222222,102384.827840475,100272.142222222
403,101157,101157,98866.4977777778,100504.709571309,98866.4977777778
404,97174.8,97149,97403.2311111111,98409.8045780592,97403.2311111111
405,92841.5,92841.5,95880.2311111111,96203.6663853005,95880.2311111111
407,91365,91365,94335.1644444445,91954.9212330265,94335.1644444445
408,89869.5,89869.5,92771.4311111111,90160.9296893956,92771.4311111111
410,89229.5,89229.5,91213.3311111111,87621.5252954831,91213.3311111111
411,88129,88129,89673.9311111111,86803.3602329461,89673.9311111111
412,86983.6666666667,87154,88210.3311111111,86218.2416259038,88210.3311111111
413,86146,86146,86845.8644444445,85815.1857487676,86845.8644444445
414,85062,85062,85544.8444444444,85543.208875949,85544.8444444444
416,84453,84453,84377.1611111111,85213.5722587929,84377.1611111111
418,83795,83795,83262.0611111111,84946.5370591396,83262.0611111111
422,83088,83088,82195.5611111111,83569.15212269,82195.5611111111
424,82332,82332,81177.6611111111,81943.2429910675,81177.6611111111
425,81529,81529,80238.1944444444,80783.2056417886,80238.1944444444
426,80690,80690,79377.6833333333,79379.1639728799,79377.6833333333
427,77659.5,78527.5,78571.95,77850.632950085,78571.95
428,75326.25,75145,77826.8833333333,76347.4750247318,77826.8833333333
429,74638.5,74492.5,77098.8166666667,75019.552648148,77098.8166666667
430,73872,73872,76376.35,74016.7282716613,76376.35
432,73961,73961,75635.8833333333,73254.4828697038,75635.8833333333
436,74037,74037,74841.0166666667,74272.945015294,74841.0166666667
437,74076,74076,74058.8833333333,74481.9255600999,74058.8833333333
438,74060,74060,73339.2166666667,74475.3663290447,73339.2166666667
440,73886,73886,72835.5166666667,73664.2782926163,72835.5166666667
441,73532,73532,72517.2333333333,72996.893011627,72517.2333333333
442,72958,72958,72276.3333333334,72266.6443476863,72276.3333333334
443,71981,71981,72108.9333333333,71557.3053949685,72108.9333333333
444,70409,70304,71931.7333333334,70952.6492476475,71931.7333333334
445,69797,69797,71754.2666666666,70518.9605052645,71754.2666666666
447,69895,69895,71531.8666666667,70132.3192247162,71531.8666666667
448,70104,70104,71276.8666666667,70137.0509393033,71276.8666666667
450,70552,70552,70993.6666666667,70436.8297100809,70993.6666666667
451,71025,71025,70667.2666666667,70689.5610190239,70667.2666666667
452,71361,71361,70196.6222222222,70975.3578204396,70196.6222222222
453,71303,71303,69789.2722222222,71236.6357820468,69789.2722222222
454,71375,71375,69368.5388888889,71408.5252798324,69368.5388888889
455,70740,70740,68968.8055555555,71426.1566897836,68968.8055555555
457,70235,70235,68544.6722222222,70739.1667501304,68544.6722222222
459,69638,69638,68082.0722222222,68910.5223050213,68082.0722222222
460,68636,68636,67557.0722222222,67786.6255839448,67557.0722222222
461,65898.3333333333,65265,66954.4722222222,66690.3330325407,66954.4722222222
462,65870.75,66049.5,66215.9166666667,65747.1350273242,66215.9166666667
465,64098,64098,65278.9166666667,64293.5757981937,65278.9166666667
469,63801,63801,64283.3166666667,63842.1939955855,64283.3166666667
470,63533,63533,63274.1166666667,63650.0456468881,63274.1166666667
471,63165,63165,62241.25,63322.7407783322,62241.25
472,62677,62677,61190.85,62808.5617095977,61190.85
474,61986,61986,60150.7166666667,61152.039562891,60150.7166666667
475,60282.6666666667,60434,59238.2944444444,60097.8389290747,59238.2944444444
477,57248,57248,58275.3777777778,57801.4550610869,58275.3777777778
478,56441,56441,57336.3777777778,56664.8304351436,57336.3777777778
479,55602,55602,56415.5111111111,55606.2897533862,56415.5111111111
480,54742,54742,55429.5111111111,54666.089196991,55429.5111111111
481,53882,53882,54431.2444444444,53834.392455382,54431.2444444444
482,53034,53034,53431.6444444444,53088.8400950454,53431.6444444444
484,52212,52212,52361.6444444444,51766.7307841344,52361.6444444444
485,51427,51427,51383.6,51145.4549665324,51383.6
486,50013,50013,50599.9666666667,50524.9326912795,50599.9666666667
487,49988,49988,49783.1,49903.0390005212,49783.1
488,48743,48743,49006.1666666667,49281.6958315351,49006.1666666667
490,48191,48191,48272.7,48048.3488079891,48272.7
492,47683,47683,47585.6333333333,46849.7878000789,47585.6333333333
493,45936,45900.5,46946.7666666667,46282.6379170081,46946.7666666667
494,45612,46006,46412.1166666667,45748.9917121149,46412.1166666667
495,45493.5,45493.5,45931.1611111111,45257.9116335904,45931.1611111111
496,44188,44188,45501.9611111111,44818.4601296255,45501.9611111111
500,43948,43948,45168.1611111111,43682.0926885567,45168.1611111111
502,43740,43740,44921.7611111111,43516.623815921,44921.7611111111
503,43576,43576,44698.6944444445,43541.3176160719,44698.6944444445
504,43451,43451,44499.1611111111,43640.2014879616,44499.1611111111
505,44192.25,44216.5,44404.8944444444,43815.2038671598,44404.8944444444
506,44212.6666666667,44212,44316.2944444445,44061.4687776881,44316.2944444445
507,43575,43575,44211.4611111111,44347.002597376,44211.4611111111
509,44981,44981,44183.8611111111,44880.7648293562,44183.8611111111
510,45047,45047,44165.9277777778,45051.4371742113,44165.9277777778
511,44845,44845,44156.2611111111,45106.2662933517,44156.2611111111
514,44690,44690,44149.0611111111,44557.4166152986,44149.0611111111
515,44522,44522,44138.1944444444,44267.4479859502,44138.1944444444
516,44283,44283,44061.7111111111,43996.1927676279,44061.7111111111
517,43921,43908,43963.2,43786.9846279466,43963.2
518,43774,43774,43867.1333333333,43683.1572345211,43867.1333333333
519,43679,43679,43437.5666666667,43711.7745749106,43437.5666666667
520,43595,43595,43033.75,43834.8219164512,43033.75
522,43468,43468,42597.6166666667,44147.0689521069,42597.6166666667
526,43288,43288,42157.4166666667,43516.2088775652,42157.4166666667
527,43045,43045,41744.8833333333,42806.6137916776,41744.8833333333
528,42735,42735,41365.75,41915.0401291755,41365.75
529,42134,42134,41042.95,40945.0702013307,41042.95
530,38537.5,37592.5,40669.8833333333,40000.2863194153,40669.8833333333
531,38989.75,38771,40345.1833333333,39184.2707947013,40345.1833333333
532,38303,38303,40012.8333333333,38578.5010383642,40012.8333333333
535,38087,38087,39500.7,37864.8248871141,39500.7
537,38334,38334,38959.3666666667,38018.2641580026,38959.3666666667
541,38596,38596,38352.0333333333,38789.5835768264,38352.0333333333
543,39079,39079,37667.5666666667,38942.7102958348,37667.5666666667
544,38178,38178,36950.6666666667,38865.8523542238,36950.6666666667
546,38808.5,39381,36421.0333333333,38400.3471216297,36421.0333333333
547,38609.75,38947,35826.25,38030.1267607928,35826.25
550,35786,35786,35241.5833333333,36480.1562810021,35241.5833333333
552,35168,35168,34634.5833333333,35172.8861141402,34634.5833333333
555,33935,33930,33953.8166666667,33029.776743453,33953.8166666667
556,32468,32468,33196.15,32337.9247537001,33196.15
557,31380.5,31380.5,32096.1666666667,31689.1546054715,32096.1666666667
558,30593,30593,31128.0916666667,31102.560063539,31128.0916666667
559,30068,30068,29867.0583333333,30590.2109620095,29867.0583333333
561,29533,29533,28836.075,29717.1215952819,28836.075
565,28982,28982,27746.7416666667,27931.9832690464,27746.7416666667
567,28122.5,28122.5,26668.3416666667,26651.1372020495,26668.3416666667
568,27231,27231,25641.4083333333,25832.970575318,25641.4083333333
569,22579.25,21456.5,24665.5416666667,24878.6210016727,24665.5416666667
570,23656.875,23952.5,23699.7083333333,23830.2680328909,23699.7083333333
571,19893,19893,22617.7083333333,22743.1370949488,22617.7083333333
572,23145,23145,21463.975,21672.4536138226,21463.975
574,19446,19446,20441.9157407407,19801.3307259228,20441.9157407407
576,18992,18992,19459.3157407407,18542.7949619119,19459.3157407407
580,18531,18531,18409.6157407407,17196.6343199153,18409.6157407407
582,17830,17830,17406.4157407407,16601.7224764745,17406.4157407407
583,16893,16893,16693.4990740741,16212.8396504502,16693.4990740741
584,14363,14363,15880.9740740741,15720.731641102,15880.9740740741
585,12762,12762,15297.9740740741,15108.3724036862,15297.9740740741
586,14202.1111111111,13935,14469.9962962963,14417.4534558477,14469.9962962963
587,14243,14243,13861.9296296296,13704.3457058287,13861.9296296296
589,12377,12377,13272.1296296296,12437.0474322175,13272.1296296296
591,12183,12183,12702.3296296296,11651.300422335,12702.3296296296
594,11885.5,11885.5,12169.9296296296,11167.9546236219,12169.9296296296
595,11469,11469,11692.1962962963,11099.2963019509,11692.1962962963
596,11148,11148,11367.862962963,11038.1374332315,11367.862962963
597,10725.3333333333,10723,11145.1074074074,10961.2406058647,11145.1074074074
598,10325,10325,10827.3666666667,10850.6300301823,10827.3666666667
600,10145,10145,10509.5666666667,10545.81204802,10509.5666666667
602,9984,9984,10287.1,10185.0804246981,10287.1
606,9844,9844,10066.8333333333,9562.5104941122,10066.8333333333
607,9727,9727,9854.13333333333,9476.07598556,9854.13333333333
608,9498,9495,9655.73333333333,9429.89305775788,9655.73333333333
609,9420.66666666667,9462,9464.53333333333,9411.81278639809,9464.53333333333
610,9436,9481,9264.15555555556,9405.58999831419,9264.15555555556
611,9476,9476,9067.02222222222,9394.97952033977,9067.02222222222
612,9040,9040,8871.47555555556,9363.73617930839,8871.47555555556
615,8879,8879,8684.16444444444,9081.54101087641,8684.16444444444
618,8695,8695,8521.43111111111,8615.52642894933,8521.43111111111
621,8493,8493,8369.23111111111,8113.77534604245,8369.23111111111
622,8280,8280,8232.69777777778,7964.17811788309,8232.69777777778
623,7719.66666666667,7856,8089.93666666667,7831.43489110343,8089.93666666667
625,7368,7317.5,7952.23666666667,7615.06545437923,7952.23666666667
626,7211.8,7139,7794.83666666667,7529.04652245658,7794.83666666667
627,7174.33333333333,7090,7663.70333333333,7456.20963350819,7663.70333333333
630,7403,7403,7541.77,7304.82761461798,7541.77
632,7444,7444,7431.77,7247.97799374681,7431.77
634,7450,7450,7340.43666666667,7215.71265093721,7340.43666666667
635,7279.25,7258.5,7387.30333333333,7205.98592192718,7387.30333333333
636,7370.5,7370.5,7402.74777777778,7199.02946817856,7402.74777777778
637,7115,7115,7423.51444444445,7193.71802494002,7423.51444444445
639,7073,7073,7511.87222222222,7188.85266082933,7511.87222222222
642,7050,7050,7656.25,7235.63216637487,7656.25
645,7045,7045,7790.95,7416.12227708872,7790.95
646,7123,7113,7956.18333333334,7519.38030408077,7956.18333333334
648,8983,8983,8112.45,7807.74272897462,8112.45
649,7951.33333333333,7428,8351.63333333333,7996.96695993766,8351.63333333333
650,7679.5,7679.5,8606.06666666667,8211.42993502684,8606.06666666667
651,8537.16666666667,8504.5,8898.86666666666,8444.30927868213,8898.86666666666
653,9340,9340,9215,8938.02756945081,9215
656,9423.5,9423.5,9559.3,9646.16838084832,9559.3
658,9922.5,9961.5,9938.05555555556,10034.1173110131,9938.05555555556
659,9794,9621,10315.3555555556,10209.2724861366,10315.3555555556
661,10867,10867,10571.8222222222,10551.8593309308,10571.8222222222
663,11187,11187,10899.4444444444,10924.0349344075,10899.4444444444
665,11507,11507,11252.0111111111,11356.4826255948,11252.0111111111
669,11815,11815,11568.0666666667,12232.854155245,11568.0666666667
670,12214.5,12214.5,11845,12414.0728651257,11845
672,12726.3333333333,12813,12143.7666666667,12682.7432339921,12143.7666666667
673,12782.5,12782.5,12467.8888888889,12756.3897375899,12467.8888888889
674,12830,12828,12886.4666666667,12784.7736683276,12886.4666666667
675,12865.6666666667,12844,13295.8,12782.9923716206,13295.8
676,12968,12968,13715.4666666667,12770.5431775063,13715.4666666667
680,13278,13278,14145.2666666667,13004.0140277214,14145.2666666667
682,13494,13494,14639.6666666667,13563.6726493551,14639.6666666667
684,13905,13905,15128.7166666667,14562.4468647412,15128.7166666667
685,14784.3333333333,14774,15657.4944444444,15179.0385586902,15657.4944444444
686,16072.6666666667,16068,16255.4018518519,15835.6250258633,16255.4018518519
687,17007,17007,16820.4685185185,16503.6000530504,16820.4685185185
688,17482,17482,17476.5574074074,17154.3574270417,17476.5574074074
689,17954,17954,18140.6907407407,17764.3552666051,18140.6907407407
693,19231,19231,18799.8907407407,19781.7035339524,18799.8907407407
694,19550.25,19484.5,19461.4240740741,20189.2787213506,19461.4240740741
695,20658,20658,20123.7907407407,20561.7087142884,20123.7907407407
698,21751.1111111111,21783,20773.9685185185,21500.0114687849,20773.9685185185
699,21306,21306,21382.1240740741,21768.9617210929,21382.1240740741
700,22707,22707,22207.9574074074,22024.186699668,22207.9574074074
701,22930,22930,22876.0574074074,22270.5964400275,22876.0574074074
703,23166,23166,23656.8240740741,22756.6103481696,23656.8240740741
706,23417,23417,24527.2240740741,23568.1335948548,24527.2240740741
710,23840.5,23840.5,25411.3407407407,25230.3454891749,25411.3407407407
711,24537,24537,26253.3407407407,25820.5554435335,26253.3407407407
712,25195,25195,27096.4666666667,26501.9441648618,27096.4666666667
713,29394.5,30090.5,27987.9166666667,27285.1696404889,27987.9166666667
714,27503.5,27630,29134.2055555556,28172.9009215122,29134.2055555556
